add_date,year,month,day,day_of_week,asset_code,asset_id,material,general_location,install_date,land_id,cluster
2013-07-16 11:45,2013,7,16,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1426,2
2013-07-16 11:46,2013,7,16,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1426,2
2013-07-02 11:32,2013,7,2,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1446,3
2013-07-04 10:11,2013,7,4,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1683,3
2013-07-04 10:12,2013,7,4,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1683,3
2013-07-05 8:47,2013,7,5,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3404,3
2013-07-05 8:48,2013,7,5,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3404,3
2013-07-12 20:39,2013,7,12,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1421,3
2013-07-12 20:40,2013,7,12,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1421,3
2013-07-11 8:51,2013,7,11,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1240,3
2013-07-10 11:41,2013,7,10,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1337,2
2013-07-10 11:55,2013,7,10,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1337,2
2013-07-12 10:52,2013,7,12,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1378,3
2013-07-12 10:53,2013,7,12,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1378,3
2013-07-12 10:54,2013,7,12,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1378,3
2013-07-12 10:55,2013,7,12,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1378,3
2013-07-15 11:55,2013,7,15,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1402,2
2013-07-15 11:56,2013,7,15,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1402,2
2013-07-15 10:59,2013,7,15,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,13968,2
2013-07-15 11:00,2013,7,15,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,13968,2
2013-07-19 14:00,2013,7,19,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1291,1
2013-07-22 10:52,2013,7,22,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2937,2
2013-07-22 10:53,2013,7,22,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2937,2
2013-07-22 13:14,2013,7,22,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2956,2
2013-07-22 13:15,2013,7,22,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2956,2
2013-07-23 9:16,2013,7,23,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,15143,2
2013-07-23 9:17,2013,7,23,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,15143,2
2013-07-23 9:38,2013,7,23,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,6,2
2013-07-23 10:22,2013,7,23,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,13799,2
2013-07-23 10:23,2013,7,23,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,13799,2
2013-07-23 11:13,2013,7,23,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3362,2
2013-07-23 11:14,2013,7,23,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3362,2
2013-07-23 11:35,2013,7,23,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3453,2
2013-07-24 11:53,2013,7,24,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1262,2
2013-07-24 11:54,2013,7,24,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1262,2
2013-07-24 11:55,2013,7,24,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1262,2
2013-07-24 13:01,2013,7,24,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3204,2
2013-07-24 13:02,2013,7,24,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3204,2
